tree_id,civic_number,std_street,genus_name,species_name,cultivar_name,common_name,assigned,root_barrier,plant_area,on_street_block,on_street,neighbourhood_name,street_side_name,height_range_id,diameter,curb,date_planted,longitude,latitude
149579,4994,WINDSOR ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,4900,WINDSOR ST,KENSINGTON-CEDAR COTTAGE,EVEN,3,4,Y,1993-11-22,-123.084553,49.239375
149647,509,E 16TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,2,500,E 16TH AV,MOUNT PLEASANT,ODD,2,8,Y,1993-11-19,-123.093033,49.256533
149658,5208,WINDSOR ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,4,5200,WINDSOR ST,KENSINGTON-CEDAR COTTAGE,EVEN,2,4,Y,1993-12-21,-123.084599,49.237783
155398,1402,MCRAE AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1400,MCRAE AV,SHAUGHNESSY,EVEN,2,3,Y,1996-12-18,-123.136252,49.256514
155951,1960,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,6,1900,W KING EDWARD AV,SHAUGHNESSY,EVEN,2,4,Y,1996-01-26,-123.150658,49.250228
156661,3496,WELWYN ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,10,3400,WELWYN ST,KENSINGTON-CEDAR COTTAGE,EVEN,2,7,Y,1994-11-08,-123.069258,49.25345
157008,3582,WELWYN ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,4,3500,WELWYN ST,KENSINGTON-CEDAR COTTAGE,EVEN,2,5,Y,1994-12-05,-123.069276,49.252751
157212,1677,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,1600,W KING EDWARD AV,SHAUGHNESSY,ODD,2,4,Y,1995-02-28,-123.143928,49.249636
157393,1671,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,1600,W KING EDWARD AV,SHAUGHNESSY,ODD,2,6,Y,1995-02-28,-123.143572,49.249631
157401,1633,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,1600,W KING EDWARD AV,SHAUGHNESSY,ODD,4,5,Y,1995-02-28,-123.14246,49.249611
158849,1313,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,1300,W KING EDWARD AV,SHAUGHNESSY,ODD,2,3,Y,1995-02-23,-123.134578,49.249492
158859,1375,W KING EDWARD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,1300,W KING EDWARD AV,SHAUGHNESSY,ODD,2,3,Y,1995-02-23,NA,NA
158919,3296,W 11TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,8,2700,BLENHEIM ST,KITSILANO,EVEN,2,3,Y,1995-02-28,-123.17784,49.26228
158923,3295,W 12TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,7,2700,BLENHEIM ST,KITSILANO,EVEN,2,3,N,1995-02-28,NA,NA
159009,3989,ANGUS DRIVE,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,1800,W KING EDWARD AV,SHAUGHNESSY,ODD,2,3,Y,1995-03-01,-123.14651,49.249678
159951,6149,ROSS ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,5,6100,ROSS ST,SUNSET,ODD,1,4,Y,1995-04-04,NA,NA
160040,4362,W 2ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,4300,W 2ND AV,WEST POINT GREY,EVEN,1,4.5,N,1995-04-06,-123.20473,49.27123
160332,244,E 32ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,200,E 32ND AV,RILEY PARK,EVEN,2,5,Y,1995-04-10,-123.099984,49.242203
160340,266,E 32ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,8,200,E 32ND AV,RILEY PARK,EVEN,2,5,Y,1995-04-10,-123.099518,49.242192
160343,4905,MARGUERITE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,1800,W 33RD AV,SHAUGHNESSY,EVEN,1,5,Y,1999-02-23,NA,NA
160409,797,E 22ND AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,N,3700,PRINCE ALBERT ST,KENSINGTON-CEDAR COTTAGE,ODD,2,3.75,Y,1995-04-11,-123.087744,49.251091
160621,6110,ROSS ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,Y,5,6100,ROSS ST,SUNSET,EVEN,1,4,Y,2008-01-30,-123.082539,49.228892
160668,3214,W 37TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,3200,W 37TH AV,DUNBAR-SOUTHLANDS,EVEN,1,4,Y,1995-05-23,-123.1762,49.23849
160887,5514,HOLLAND ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,17,3900,W 39TH AV,DUNBAR-SOUTHLANDS,EVEN,2,3,Y,1995-04-24,-123.19188,49.23641
160900,1466,W 4TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,8,1400,W 4TH AV,FAIRVIEW,EVEN,2,4,Y,1995-04-19,-123.137584,49.267754
160918,1498,W 4TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,8,1400,W 4TH AV,FAIRVIEW,EVEN,2,3,Y,1995-04-19,NA,NA
160927,1528,W 4TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,8,1500,W 4TH AV,FAIRVIEW,EVEN,2,3,Y,1995-04-19,NA,NA
161044,849,SEABREEZE WALK,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,Y,N,B,3300,SEABREEZE WALK,DOWNTOWN,ODD,2,4,Y,1995-04-28,-123.133134,49.274539
161825,2408,PINE ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,1,2400,PINE ST,FAIRVIEW,EVEN,1,4,Y,NA,-123.143283,49.264247
162866,711,W 69TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,9,700,W 69TH AV,MARPOLE,ODD,2,4,Y,1999-01-18,-123.121402,49.209381
209222,1190,W 15TH AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,Y,2,1100,W 15TH AV,FAIRVIEW,EVEN,1,3,Y,2006-01-11,-123.131303,49.257819
209539,4305,W 3RD AV,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,12,1800,DISCOVERY ST,WEST POINT GREY,ODD,1,4,N,2006-01-19,-123.20286,49.27022
209594,1960,LARCH ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,Y,5,1900,LARCH ST,KITSILANO,EVEN,1,3,Y,2006-01-19,-123.162163,49.268465
209595,1960,LARCH ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,Y,5,1900,LARCH ST,KITSILANO,EVEN,1,3,Y,2006-01-23,-123.162152,49.268669
221752,2127,STEPHENS ST,STYRAX,JAPONICA,NA,JAPANESE SNOWBELL,N,N,7,2100,STEPHENS ST,KITSILANO,ODD,1,3,Y,2007-02-21,-123.166485,49.266979
221816,3292,W 10TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,Y,8,2600,BLENHEIM ST,KITSILANO,EVEN,1,3,Y,2007-02-26,-123.17781,49.26298
222007,3099,E 18TH AV,STYRAX,JAPONICA,ROSEA,PINK FLOWERING JAPANESE SNOWBE,N,N,N,3300,LILLOOET ST,RENFREW-COLLINGWOOD,ODD,1,6,Y,2007-03-06,-123.039126,49.254292
222008,3102,E 17TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,N,3300,LILLOOET ST,RENFREW-COLLINGWOOD,EVEN,1,4,Y,2007-03-07,-123.038976,49.254481
222009,3099,E 18TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,N,3300,LILLOOET ST,RENFREW-COLLINGWOOD,ODD,1,5,Y,2007-03-06,-123.039128,49.254219
222011,3097,E 19TH AV,STYRAX,JAPONICA,ROSEA,PINK FLOWERING JAPANESE SNOWBE,N,N,N,3400,LILLOOET ST,RENFREW-COLLINGWOOD,ODD,1,3,Y,2007-03-01,NA,NA
222015,3102,E 18TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,N,3400,LILLOOET ST,RENFREW-COLLINGWOOD,EVEN,1,4,Y,2007-03-01,-123.038976,49.253883
222016,3102,E 18TH AV,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,N,3400,LILLOOET ST,RENFREW-COLLINGWOOD,EVEN,1,4,Y,2007-03-02,-123.038978,49.253672
222020,3490,LILLOOET ST,STYRAX,OBASSIA,NA,FRAGRANT SNOWBELL,N,N,N,3400,LILLOOET ST,RENFREW-COLLINGWOOD,EVEN,1,4,Y,2007-03-02,-123.038978,49.253342
222024,3105,E 20TH AV,STYRAX,JAPONICA,ROSEA,PINK FLOWERING JAPANESE SNOWBE,N,N,8,3500,LILLOOET ST,RENFREW-COLLINGWOOD,EVEN,1,3,Y,2007-03-05,-123.038981,49.252557
